slug,axis,taxonomy_id,value,confidence,note,provenance,source_key
a24,light,light.src.motivated,motivated practical light,high,"Lighting built around sources already inside the environment — windows, lamps, daylight, candles, firelight — rather than flooded with fixtures. The Witch relies almost entirely on daylight and firelight.",critical-reading,studiobinder-a24
a24,light,light.ratio.overexposed,bright near-overexposed daylight,medium,"Midsommar holds bright clean daylight throughout, using pastoral tone for unease rather than darkness. A register, not a rule across the slate.",critical-reading,studiobinder-a24
a24,grade,grade.process.pastel,restrained palette,medium,"Restraint over saturation. Moonlight shifts palette across three chapters — childhood warmth to adult coolness — so the grade is per-act rather than per-film.",critical-reading,studiobinder-a24
a24,framing,frame.close.cu,close intimate framing,high,"The camera treated as another person in the room. Never Rarely Sometimes Always stays close to its subject throughout, preferring the reaction to conventional shot-reverse-shot coverage.",critical-reading,studiobinder-a24
a24,camera,cam.operator.handheld,handheld that breathes,high,"Handheld responding to breathing, hesitation and posture rather than shaking for excitement.",critical-reading,studiobinder-a24
a24,rhythm,rhythm.asl.long,long takes,medium,"Observational shots allowed to build without frequent cutting. Beyond the local frame envelope — reachable only as a chain of carries.",critical-reading,studiobinder-a24
a24,method,,subjective editing,medium,"The edit follows the emotional logic of the character rather than the physical logic of the room. A cutting principle, not an image property; nothing in a single clip expresses it.",critical-reading,podcastvideos-a24
marvel-studios,grade,grade.process.hisat,chromatic intensity,medium,"Described in criticism as selective punctuative use of high-intensity colour. Originally vibrant high saturation, as a deliberate choice so audiences would recognise the picture as a Marvel Studios one.",critical-reading,commarts-marvel
marvel-studios,angle,angle.low,low-angle hero shot,medium,"Part of a genre grammar rather than a studio one — superhero cinema broadly, not Marvel specifically.",critical-reading,studiobinder-shots
marvel-studios,light,light.dir.back,backlit ensemble,high,"For the Endgame final battle the Russo brothers backlit every character on screen, which let a fully CG environment and disparate footage share one ground and kept colour natural rather than garish. A specific documented technique, not a slate-wide rule.",trade-reported,cbr-mcu-look
marvel-studios,method,,house style contested,high,"Recorded deliberately. Criticism argues both sides: that Marvel enforces a recognisable look, and that variation in tone and action across films is evidence there is no constraining house style. Treat any Marvel style row as a reading with a live counter-argument.",critical-reading,solute-marvel-myth
pixar,rhythm,rhythm.pattern.alternating,amazing then familiar,high,"The Incredibles rule — something amazing should be followed by something uneventful and familiar. The juxtaposition is what makes the spectacle legible.",trade-reported,renderman-cinematography
pixar,camera,cam.locked.static,move matched to the scene,high,"Camera minimal or locked down through static sequences and far more operated through kinetic choreography. The move is a function of the beat rather than a constant register.",trade-reported,renderman-cinematography
walt-disney-animation,method,,virtual camera in-pipeline,high,"The camera capture system was built inside the existing Maya pipeline rather than beside it, so it reaches every asset and every scene-assembly tool. Continuous with the studio's camera engineering lineage — multiplane in the 1930s, CAPS in the 1990s.",trade-reported,awn-disney-vcam
dreamworks-animation,method,,lighting and camera as separate departments,medium,"Separating them liberates motion-control setups that would be difficult where the two are coupled. Influences from live-action staging and camera movement are explicit.",trade-reported,awn-disney-vcam
sony-pictures-imageworks,rhythm,,mixed frame rates within one image,high,"Spider-Verse abandons a single consistent frame rate — 24fps for some elements, 12fps animated on twos for others. Spider-Punk carries different rates for different parts of his body and his guitar. Imageworks built StepSets to republish scenes at different rates and generate sims accordingly.",trade-reported,fxguide-spiderverse
sony-pictures-imageworks,style,,line and dot as light and shadow,high,"A deliberate style language where light and reflections are defined by dots and shadows by lines — hatching rather than shading. The first CG animated feature with a dedicated inking team.",trade-reported,beforesandafters-atsv
lucasfilm,method,,in-camera LED volume,high,"StageCraft — a 20-foot high 270-degree semicircular LED wall and ceiling around a 75-foot performance space. Over half of The Mandalorian season one was shot this way, capturing complex VFX in-camera through a real-time engine rather than in post.",trade-reported,ilm-stagecraft
lucasfilm,light,light.src.practical,the wall as the key,high,"The consequence of the volume that matters for grammar: the displayed environment is itself the practical source lighting the actor, so light direction and background geometry are pinned together by construction rather than by continuity discipline.",trade-reported,ilm-stagecraft
blumhouse,method,,budget ceiling as grammar,high,"Roughly five million dollars per picture, never more than ten outside established franchise sequels, with directors given final cut in exchange for staying under. The visual grammar is downstream of that ceiling, not of a house look.",trade-reported,readtrung-blumhouse
blumhouse,method,,single location,high,"Single-location shoots as budgetary control — one main set, fast scouting, minimal transport. The domestic interior does double duty as the site of dread.",critical-reading,nofilmschool-blumhouse
blumhouse,camera,cam.operator.handheld,found footage,high,"Paranormal Activity, made for fifteen thousand dollars and grossing over a hundred million, established found footage as a commercial subgenre. The diegetic camera is the studio's most identifiable formal signature.",trade-reported,readtrung-blumhouse
netflix,method,,capture standard as look floor,medium,"The Approved Camera programme sets a scene-referred wide-gamut 10-bit floor across every original. That is a technical constraint rather than an aesthetic one, but it is the closest thing to a Netflix house image and it is genuinely enforced.",trade-reported,netflix-cameras
