slug,scheme,key,value,status,note,source_key
netflix,netflix-vfx,shot-template,<showID>_<episode>_<seq>_<scene>_<shotID>_<task>_<vendorID>_<version>,documented,"Published on the Netflix Partner Help Center. The only studio-authored shot-naming template in the public domain.",netflix-vfx-naming
netflix,netflix-vfx,example,AGM_104_TCC_067_0010_comp_NFX_v001,documented,,netflix-vfx-naming
netflix,netflix-vfx,shot-increment,10,documented,"Shot IDs step by 10 so a shot spotted later between 0010 and 0020 takes 0015.",netflix-vfx-naming
netflix,netflix-vfx,vendor-id-required,series,documented,"Required for series; encouraged for everything else.",netflix-vfx-naming
netflix,netflix-vfx,naming-owner,editorial,documented,"Netflix recommends a role embedded with editorial names shots as editorial spots them, so VFX and editorial can cross-check lists.",netflix-vfx-naming
netflix,capture-standard,sensor-width,3840 photosites spherical,documented,"The Approved Camera programme minimum.",netflix-cameras
netflix,capture-standard,bit-depth,10-bit or greater,documented,,netflix-cameras
netflix,capture-standard,data-rate,240 Mbps minimum at 24fps,documented,,netflix-cameras
netflix,capture-standard,colour,scene-referred gamut and transfer function,documented,"S-Gamut3, ALEXA Wide Gamut, REDWideGamut; Slog3, LogC, Log3G10, VLog.",netflix-cameras
netflix,capture-standard,approved-coverage,90 percent of final runtime,documented,"At least ninety percent of a programme's final runtime must be captured on an approved camera.",netflix-cameras
walt-disney-studios,movielabs-omc-slate,governance,co-owner,documented,"MovieLabs is jointly run by Disney, Warner Bros., Universal, Paramount and Sony. Its Ontology for Media Creation is the formal shot grammar these five have collectively published — Shot, Sequence, Slate UID, Setup, Take, all defined, all CC BY 4.0.",movielabs-omc-context
warner-bros,movielabs-omc-slate,governance,co-owner,documented,"See walt-disney-studios. The ontology is the studio-backed public grammar; adoption remains each member's own decision.",movielabs-omc-context
universal-pictures,movielabs-omc-slate,governance,co-owner,documented,"Universal is both a MovieLabs owner and the chair of the ETC working group that produced the VFX naming spec — the widest public standards footprint of the five, and still no Universal-branded template.",movielabs-omc-context
paramount-pictures,movielabs-omc-slate,governance,co-owner,documented,"MovieLabs and ETC are Paramount's entire public surface here. It publishes no open-source production tooling and is absent from the Academy Software Foundation roster.",movielabs-omc-context
sony-pictures,movielabs-omc-slate,governance,co-owner,documented,"See walt-disney-studios.",movielabs-omc-context
walt-disney-studios,movielabs-omc-slate,adoption,undetermined,unknown,"Stated verbatim in the ontology: 'Each MovieLabs member company shall decide independently the extent to which it will utilize, or require adherence to, these recommendations.' Co-owning the grammar is not the same as using it, and the document refuses to claim otherwise.",movielabs-omc-context
warner-bros,movielabs-omc-slate,adoption,undetermined,unknown,"See walt-disney-studios — the same disclaimer covers every member.",movielabs-omc-context
universal-pictures,movielabs-omc-slate,adoption,undetermined,unknown,"See walt-disney-studios.",movielabs-omc-context
paramount-pictures,movielabs-omc-slate,adoption,undetermined,unknown,"See walt-disney-studios.",movielabs-omc-context
sony-pictures,movielabs-omc-slate,adoption,undetermined,unknown,"See walt-disney-studios.",movielabs-omc-context
universal-pictures,etc-movielabs-vfx-is,showid-prefix,un,documented,"'un' is the spec's own worked example for the NBCU studio prefix — un-ff25.",etc-vfx-is-1.0
universal-pictures,etc-movielabs-vfx-is,working-group,chair,documented,"Horst Sarubin of Universal Pictures chaired the ETC Adaptive Production VFX Working Group.",etc-vfx-is-1.0
lucasfilm,etc-movielabs-vfx-is,showid-prefix,sw,documented,"'sw' is the spec's worked example for the Star Wars franchise prefix — sw-solo, sw-rasp.",etc-vfx-is-1.0
