source_key,title,publisher,year,url,kind
etc-vfx-is-1.0,VFX Image Sequence Naming v1.0 (TR-VFX-IS),Entertainment Technology Center at USC / MovieLabs,2020,https://movielabs.com/prodtech/sdw/vfx/ETC-ImageSequenceNaming-v1.0-063020-FINAL.pdf,spec
netflix-vfx-naming,VFX Shot and Version Naming Recommendations,Netflix Partner Help Center,2024,https://partnerhelp.netflixstudios.com/hc/en-us/articles/360057627473-VFX-Shot-and-Version-Naming-Recommendations,spec
netflix-vfx-plates,VFX Plate Naming Best Practices,Netflix Partner Help Center,2024,https://partnerhelp.netflixstudios.com/hc/en-us/articles/360055781274-VFX-Plate-Naming-Best-Practices,spec
isdcf-dcnc,Digital Cinema Naming Convention — Illustrated Guide,InterSociety Digital Cinema Forum,2024,https://www.isdcf.com/registry/illustratedguide/,spec
isdcf-studios,DCNC Studio Code Registry,InterSociety Digital Cinema Forum,2026,https://www.isdcf.com/registry/studios/,registry
ves-transfer-spec,VES Transfer Specification,Visual Effects Society,2023,https://vestransferspec.org/,spec
studiobinder-abbrev,Shot List Abbreviations Explained,StudioBinder,2024,https://www.studiobinder.com/blog/shot-list-abbreviations/,reference
studiobinder-shots,50+ Types of Camera Shots Angles and Techniques,StudioBinder,2024,https://www.studiobinder.com/blog/ultimate-guide-to-camera-shots/,reference
studiobinder-a24,A24 Cinematography Explained: Lighting Framing & Aesthetic,StudioBinder,2024,https://www.studiobinder.com/blog/a24-cinematography/,criticism
artmann-naming,Pre-production — Naming of scenes and shots,Artmann Media,2019,https://www.artmann.co.uk/quality/pre-production/naming-of-scenes-and-shots,reference
script-supervising,Script Supervising and Film Continuity 3rd ed. Appendix A,Focal Press,2010,https://www.oreilly.com/library/view/script-supervising-and/9780240802947/026_9780080516769_appendix_a.html,reference
netflix-cameras,Netflix Approved Camera List and capture requirements,Netflix / Lensrentals summary,2026,https://www.lensrentals.com/blog/2026/02/the-netflix-approved-camera-list-for-2026/,spec
ilm-stagecraft,Groundbreaking LED Stage Production Technology for The Mandalorian,Industrial Light & Magic,2020,https://www.ilm.com/groundbreaking-led-stage-production-technology-created-for-hit-lucasfilm-series-the-mandalorian/,trade
fxguide-spiderverse,Why Spider-Verse has the most inventive visuals you'll see this year,fxguide,2018,https://www.fxguide.com/fxfeatured/why-spider-verse-has-the-most-inventive-visuals-youll-see-this-year/,trade
beforesandafters-atsv,The first CG animated movie with a dedicated inking team,befores & afters,2023,https://beforesandafters.com/2023/06/28/this-was-the-first-cg-animated-movie-ive-ever-heard-of-that-actually-had-a-dedicated-inking-team/,trade
