enum,value,definition
provenance,industry-standard,"Vocabulary in general use across the industry and attested in multiple independent references. Not owned by any studio."
provenance,published-spec,"Written down in a document published by a named body or studio, with field order and allowed values stated. Quotable."
provenance,trade-reported,"Reported in trade press or a studio's own technical write-up. Factual but not normative — describes what was done, not what is required."
provenance,critical-reading,"An interpretive claim about a studio's visual habits, drawn from criticism or analysis. True as a reading, not as a rule. Never treat as a spec."
provenance,ours,"Written for this repo. Has no counterpart in the industry sources — see docs/SHOT-GRAMMAR.md, which uses the same word."
scope,sequence,"One value for the whole chain. Changing it dirties every clip."
scope,shot,"Varies clip to clip. Changing it dirties that clip's run onward."
scope,link,"A property of the seam between two clips, not of either clip."
field,environment,"Location, time of day, atmosphere, practical light sources."
field,light,"Source, direction, quality."
field,lens,"Focal length, aperture, depth of field."
field,grade,"Palette, contrast, stock or LUT reference."
field,style,"Era, visual register."
field,subject,"Who or what, and the one thing it does."
field,camera,"Shot size and the single camera move."
field,link.mode,"What the seam carries."
field,link.transition,"How the seam is executed."
field,link.rhythm,"Cutting rate across the seam."
motion,still,"No frame motion at the boundary."
motion,translating,"Camera position changing along a line."
motion,rotating,"Camera orientation changing about an axis."
motion,rising,"Camera changing height."
motion,unstable,"Operator-induced motion with no fixed rate."
link_mode,carry,"Anchor is the previous clip's last frame. Camera keeps moving, subject continues."
link_mode,reframe,"Anchor is the previous clip's last frame. Same scene, new framing."
link_mode,cut,"Anchor set explicitly. A deliberate new shot; continuity is not owed."
scheme_kind,shot-id,"Names and numbers a shot within a production."
scheme_kind,image-sequence,"Names a frame-based image sequence file."
scheme_kind,package,"Names a finished distribution package."
scheme_kind,slate,"Marks a take on set for editorial."
scheme_kind,content-hash,"Derives a name from the content that produced it. Not parseable in either direction — the fields are inputs to a digest, not substrings of the result."
studio_tier,major,"One of the five/six majors or their parent."
studio_tier,major-label,"A specialty or genre label owned by a major."
studio_tier,animation,"A feature animation studio."
studio_tier,streamer,"A streaming-first studio commissioning originals."
studio_tier,mini-major,"An independent studio operating at scale."
studio_tier,vfx-house,"A vendor facility, not a commissioning studio. Listed because its codes and methods appear in shot names."
body_role,co-owner,"The studio jointly owns the body. MovieLabs is jointly run by Paramount, Sony, Universal, Disney and Warner Bros."
body_role,member organisation,"A named member of the body, listed in its published output."
body_role,working group chair,"The studio supplied the chair of the group that produced a named specification."
body_role,industry contributor,"Acknowledged as contributing, without member-organisation standing."
body_role,premier member,"The top membership tier of the Academy Software Foundation."
body_role,member,"An Academy Software Foundation member below premier tier."
body_role,not a member,"Recorded absence. Kept as a row because the absence is a finding — it says where a studio does and does not meet the public standards surface."
body_role,publisher,"The studio publishes the artifact itself rather than through a body."
identifier,serial,"SG-NNN. Permanent identity, allocated once and never reused or re-derived. Encodes nothing, so no fact can make it wrong."
identifier,digest,"16 hex over the canonical form of one studio's own record. Moves if and only if the recorded facts move."
identifier,group_digest,"16 hex over a studio's digest folded with every descendant's group digest. Moves when a label it owns changes, leaving its own digest still."
identifier,link,"64 hex. SHA256(prev ‖ 0x1D ‖ canonical) — one revision's position in the chain."
identifier,HEAD,"The last valid link. The one value worth publishing, because a chain nobody has witnessed proves only that the file agrees with itself."
status,documented,"The studio published this. Quotable against a URL."
status,contributor,"The studio contributed to a specification without publishing one of its own. Contributing is not adopting."
status,unknown,"Searched for and not found, or explicitly left undetermined by the source. A recorded absence, never a reconstruction."
studio_tier,generative-native,"A studio whose production grammar is defined for generated rather than captured images. Listed separately because every other tier's grammar was written for a camera."
studio_tier,standards-body,"Publishes format specifications rather than pictures."
