scheme,code,label,group,definition,source_key
movielabs-omc-slate,Shot,Shot,shot,"A discrete unit of visual narrative with a specified beginning and end. The most generic definition — in some cases a Shot covers an entire Capture, in others only a portion of one.",movielabs-omc-context
movielabs-omc-slate,Sequence,Sequence,shot,"An ordered collection of media used to organize units of work. A Sequence, or a rendered version of it, can itself be used as a Shot in another Sequence.",movielabs-omc-context
movielabs-omc-slate,EditorialShot,Editorial Shot,shot,"A Shot for use in an Editorial Sequence. A subclass of Shot with optional detailed timing information added.",movielabs-omc-context
movielabs-omc-slate,VFXShot,VFX Shot,shot,"A Shot that has been identified as requiring VFX work. Same attributes as a generic Shot.",movielabs-omc-context
movielabs-omc-slate,VFXSequence,VFX Sequence,shot,"A unit of work made up of an ordered series of VFX shots. May not be a continuous narrative — usually created around blocks of related VFX work, so every shot involving one prop can be grouped into one VFX Sequence.",movielabs-omc-context
movielabs-omc-slate,VFXImageSequence,VFX Image Sequence,shot,"An Image Sequence used in VFX work, for when the process needs individual independent frames. In that case all of the Shots should be Image Sequences rather than Moving Images.",movielabs-omc-context
movielabs-omc-slate,AnimationShot,Animation Shot,shot,"A Shot identified as requiring Animation work. Shots with both live action and animation are categorised as VFX Shots, not Animation Shots.",movielabs-omc-context
movielabs-omc-slate,AnimationSequence,Animation Sequence,shot,"A unit of work made up of an ordered series of Animation shots. Unlike VFX Sequences these are usually complete from a narrative perspective, and their content is often decided by editorial.",movielabs-omc-context
movielabs-omc-slate,ColorSequence,Color Sequence,shot,"A sequence of shots with colour grading characteristics linked to creative intent. Grouped by the work rather than by the narrative — foggy dock scenes together, leafy stately-home exteriors together.",movielabs-omc-context
movielabs-omc-slate,SCD,Sequence Chronology Descriptor,shot,"Describes how a series of Shots is used to generate a Sequence. EDL, AAF and OTIO are all subclasses of this general concept. Carries per-shot identifiers and optional source timecodes, record timecodes in the destination, and ancillary metadata such as markers and transition effects.",movielabs-omc-context
movielabs-omc-slate,Slate,Slate,capture,"The virtualized version of the physical slate. How everything gets tied together after shooting is done; its use as connective tissue generally still requires human intervention.",movielabs-omc-context
movielabs-omc-slate,SlateUID,Slate UID,capture,"A unique way of specifying important details about each camera setup when the camera rolls. Combines the Production Scene Number, Setup and Take into an alphanumeric string. There are conventions for this but no standards — it can be parsed into its components if the conventions being followed are known. Unique within a particular Creative Work.",movielabs-omc-context
movielabs-omc-slate,SlateName,Slate Name,capture,"The combination of Scene Descriptor and Setup — the Slate UID without the Take. Loosely, it covers all the Takes of a particular Production Scene using a particular Setup.",movielabs-omc-context
movielabs-omc-slate,Setup,Setup,capture,"The unique camera configuration that encompasses a camera's geo-location, positioning, lens, or other camera settings.",movielabs-omc-context
movielabs-omc-slate,Take,Take,capture,"A discrete capture event with a specified beginning and end. May include audio, video or motion capture. Usually specified by the director calling a start and end.",movielabs-omc-context
movielabs-omc-slate,Capture,Capture,capture,"An Asset Functional Class. A video Capture, or a processed version of it, is often the source for a Shot. In some circumstances what the Ontology calls a Capture is referred to as a shot — in the Ontology a shot in that sense is a section of a Capture.",movielabs-omc-context
movielabs-omc-slate,CameraUnit,Camera Unit,capture,"A group of Participants responsible for shooting some element of a Production Scene — Main Unit or Second Unit. Usually multiple people but can be a single person.",movielabs-omc-context
movielabs-omc-slate,SourceStart,Source Start,timing,"Start of the section of the material being used.",movielabs-omc-context
movielabs-omc-slate,SourceEnd,Source End,timing,"End of the section of the material being used.",movielabs-omc-context
movielabs-omc-slate,RecordStart,Record Start,timing,"The time in the Sequence where this use of the material starts. Named for reasons of history and industry practice.",movielabs-omc-context
movielabs-omc-slate,RecordEnd,Record End,timing,"The time in the Sequence where the content taken from the material ends.",movielabs-omc-context
