slug,serial,allocated,retired,note
walt-disney-studios,SG-001,2026-08-22,,
disney-live-action,SG-002,2026-08-22,,
walt-disney-animation,SG-003,2026-08-22,,
pixar,SG-004,2026-08-22,,
marvel-studios,SG-005,2026-08-22,,
lucasfilm,SG-006,2026-08-22,,
twentieth-century-studios,SG-007,2026-08-22,,
searchlight-pictures,SG-008,2026-08-22,,
warner-bros,SG-009,2026-08-22,,
new-line-cinema,SG-010,2026-08-22,,
universal-pictures,SG-011,2026-08-22,,
focus-features,SG-012,2026-08-22,,
dreamworks-animation,SG-013,2026-08-22,,
illumination,SG-014,2026-08-22,,
amblin-entertainment,SG-015,2026-08-22,,
paramount-pictures,SG-016,2026-08-22,,
paramount-vantage,SG-017,2026-08-22,,
sony-pictures,SG-018,2026-08-22,,
sony-pictures-classics,SG-019,2026-08-22,,
sony-pictures-imageworks,SG-020,2026-08-22,,
amazon-mgm-studios,SG-021,2026-08-22,,
apple-studios,SG-022,2026-08-22,,
netflix,SG-023,2026-08-22,,
a24,SG-024,2026-08-22,,
lionsgate,SG-025,2026-08-22,,
blumhouse,SG-026,2026-08-22,,
legendary-pictures,SG-027,2026-08-22,,
skydance-media,SG-028,2026-08-22,,
neon,SG-029,2026-08-22,,
miramax,SG-030,2026-08-22,,
annapurna-pictures,SG-031,2026-08-22,,
industrial-light-magic,SG-032,2026-08-22,,
digital-domain,SG-033,2026-08-22,,
weta-fx,SG-034,2026-08-22,,
luma-pictures,SG-035,2026-08-22,,
westwyrd-pictures,SG-036,2026-08-22,,
westwyrd-federated-instruments,SG-037,2026-08-22,,
