scheme,order,field,required,format,pattern,padding,separator_before,allowed_values,example,note,source_key
etc-movielabs-vfx-is,1,showid,yes,{<studio-or-franchise>-}<show>,^([a-z0-9]{2}-)?[a-z0-9]{4}$,none,,,un-ff25,<show> is 4 alphanumeric characters. <studio-or-franchise> is an optional 2-char prefix used only where a collision with another studio's show code is a concern. Parts of the Show ID are joined by dashes because it is still one field.,etc-vfx-is-1.0
etc-movielabs-vfx-is,1b,showid (episodic),yes,{<studio-or-franchise>-}<series>-s<season>e<episode>,^([a-z0-9]{2}-)?[a-z0-9]{4}-s[0-9]{2}e[0-9]{3}$,season 2 / episode 3,,,hb-gotr-s08e007,<series> is 4 alphanumeric characters — 'got' is invalid because it is only three. Episode is a production sequence and may not match the airing sequence.,etc-vfx-is-1.0
etc-movielabs-vfx-is,2,vfx-sequence,yes,<abbrev> | show | act<n> | reel<n> | part<n>,"^([a-z0-9]{2,4})$",portion-number zero-padded to a show-wide width,_,show|act<n>|reel<n>|part<n>|<2-4 alnum>,ib,2-4 alphanumeric characters. Avoid values that start with the reserved words unless they are the reserved designator. Sequences named with 'act' are act designators.,etc-vfx-is-1.0
etc-movielabs-vfx-is,3,vfx-shot,yes,<nnnn>,^[0-9]{4}$,4 digits,_,,0100,"Unique within the sequence. '0000' is reserved for work where the concept of a shot does not apply — a model, or an effect spanning shots. Conventionally numbering starts at 0100.",etc-vfx-is-1.0
etc-movielabs-vfx-is,4,image-type,yes,<type-name>{<instance-number>},^[a-zA-Z]+([0-9]{2})?$|^other-[a-z0-9-]+$,instance-number 2 digits,_,see vocab-image-type.csv,comp,"A different instance number is a distinct plate, not a different version — EL01 fire, EL02 smoke.",etc-vfx-is-1.0
etc-movielabs-vfx-is,5,vendor-code,yes,<aa>,^[a-z0-9]{2}$,none,_,,dd,"Two alphanumeric characters assigned by the production VFX department. 'dd' Digital Domain, 'im' Industrial Light and Magic.",etc-vfx-is-1.0
etc-movielabs-vfx-is,6,revision-code,yes,v<nnn>,"^v[0-9]{3,}$",3 digits minimum; widen show-wide if >999 possible,_,,v020,Always the same number of numerals across a show. Revision 10 is 'v010' at three digits and 'v0010' at four.,etc-vfx-is-1.0
etc-movielabs-vfx-is,7,alternate,no,a<free-text>,^a[a-z0-9-]+$,none,_,,a4k,Present only when a non-primary variant exists. The primary — best — version omits this field entirely.,etc-vfx-is-1.0
etc-movielabs-vfx-is,8,camera-reference,no,cam{l|r|c|<label>},^cam(l|r|c|[a-z0-9]+)$,zero-pad numeric labels to a fixed width,_,l|r|c|<label>,caml,Only when more than one camera shot simultaneously. 'l' and 'r' are the stereo pair; 'c' is centre.,etc-vfx-is-1.0
etc-movielabs-vfx-is,9,identifying-description,no,<words-joined-by-dashes>,^[a-z0-9-]+$,none,_,,dom-beard,Alphanumeric and dash only. Must stay constant for the life of the production — never 'doms-beard' one day and 'doms-facialhair' the next.,etc-vfx-is-1.0
etc-movielabs-vfx-is,10,spec-version,no,sv<MM>.<mm>,^sv[0-9]{2}\.[0-9]{2}$,2 digits each side,_,,sv01.00,Which version of this specification the name was encoded against.,etc-vfx-is-1.0
etc-movielabs-vfx-is,11,frame-number,no,<nnnn>,"^[0-9]{4,}$",4 digits minimum; one width show-wide,.,,1001,"Preceded by a period rather than an underscore. Present for single-frame files (DPX, EXR); absent when the file holds all frames (MOV). By convention starts at 1001.",etc-vfx-is-1.0
etc-movielabs-vfx-is,12,file-extension,yes,<ext>,^[a-z0-9]+$,none,.,exr|dpx|mov|tif,exr,Considered part of the file name.,etc-vfx-is-1.0
