id,label,abbrev,aliases,category,scope,field,parent,text,hands_forward,accepts,local_status,note,provenance,source_key
cam.locked.static,static,STATIC,LOCK|locked off|sticks,camera,shot,camera,cam.locked,"locked-off static frame",still,still,GROUNDED,"Begins from stillness only. After a moving shot this reads as a hard stop unless the link is a cut.",industry-standard,studiobinder-shots
cam.translate.pushin,push in,PUSH,dolly in|DI|track in,camera,shot,camera,cam.translate,"slow push in toward the subject",translating,still|translating,GROUNDED,"On a dolly the camera body moves; distinguish from zoom, which does not.",industry-standard,studiobinder-shots
cam.translate.pullback,pull back,PULL,dolly out|DO|track out,camera,shot,camera,cam.translate,"steady pull back, revealing what surrounds the subject",translating,still|translating,GROUNDED,,industry-standard,studiobinder-shots
cam.translate.truckL,truck left,TRUCK-L,crab left|track left,camera,shot,camera,cam.translate,"trucking left at a constant rate",translating,still|translating,GROUNDED,,industry-standard,studiobinder-shots
cam.translate.truckR,truck right,TRUCK-R,crab right|track right,camera,shot,camera,cam.translate,"trucking right at a constant rate",translating,still|translating,GROUNDED,,industry-standard,studiobinder-shots
cam.rotate.panL,pan left,PAN-L,,camera,shot,camera,cam.rotate,"panning left from a fixed position",rotating,still|rotating,UNVERIFIED,"A pan is rotation from a fixed head; a truck is translation. Models frequently conflate them.",industry-standard,studiobinder-shots
cam.rotate.panR,pan right,PAN-R,,camera,shot,camera,cam.rotate,"panning right from a fixed position",rotating,still|rotating,UNVERIFIED,"See pan left.",industry-standard,studiobinder-shots
cam.rotate.tiltUp,tilt up,TILT-U,,camera,shot,camera,cam.rotate,"tilting up from the subject",rotating,still|rotating,GROUNDED,,industry-standard,studiobinder-shots
cam.rotate.tiltDown,tilt down,TILT-D,,camera,shot,camera,cam.rotate,"tilting down onto the subject",rotating,still|rotating,GROUNDED,,industry-standard,studiobinder-shots
cam.rotate.orbit,orbit,ORBIT,arc|ARC|circle,camera,shot,camera,cam.rotate,"orbiting the subject at a constant radius",rotating,rotating|translating,GROUNDED,"Cannot begin from stillness across a carry — an orbit that starts mid-clip reads as a jolt.",industry-standard,studiobinder-shots
cam.rotate.roll,roll,ROLL,,camera,shot,camera,cam.rotate,"rolling about the lens axis",rotating,rotating,EXCLUDED,"Distinct from a dutch angle, which is a fixed roll. Not in the closed set at SHOT-GRAMMAR §V.",industry-standard,studiobinder-shots
cam.vertical.craneUp,crane up,CRANE-U,jib up|boom up,camera,shot,camera,cam.vertical,"craning up and away",rising,still|rising|translating,GROUNDED,,industry-standard,studiobinder-shots
cam.vertical.craneDown,crane down,CRANE-D,jib down|boom down,camera,shot,camera,cam.vertical,"craning down toward the subject",rising,still|rising|translating,GROUNDED,,industry-standard,studiobinder-shots
cam.vertical.pedUp,pedestal up,PED-U,,camera,shot,camera,cam.vertical,"raising the camera vertically on the column",rising,still|rising,UNVERIFIED,"A pedestal raises the camera without the arc a crane describes. Hard to distinguish in a short clip.",industry-standard,studiobinder-shots
cam.vertical.pedDown,pedestal down,PED-D,,camera,shot,camera,cam.vertical,"lowering the camera vertically on the column",rising,still|rising,UNVERIFIED,"See pedestal up.",industry-standard,studiobinder-shots
cam.operator.handheld,handheld follow,HH,handheld,camera,shot,camera,cam.operator,"handheld, following the subject, small constant correction",unstable,unstable|translating|still,GROUNDED,,industry-standard,studiobinder-shots
cam.operator.steadicam,steadicam,STEADI,gimbal,camera,shot,camera,cam.operator,"stabilised walking move, floating",translating,still|translating|unstable,UNVERIFIED,"Reads as a smooth translate at this length; the distinguishing float needs more frames than the envelope has.",industry-standard,studiobinder-shots
cam.operator.follow,tracking follow,TRACK,following shot,camera,shot,camera,cam.operator,"travelling with the subject at their pace",translating,translating|unstable,UNVERIFIED,,industry-standard,studiobinder-shots
cam.operator.rack,rack focus,RACK,RF|pull focus,camera,shot,camera,cam.operator,"static frame, focus racking between two planes",still,still,GROUNDED,"The frame is locked; only focus moves. Treated as still on both sides.",industry-standard,studiobinder-shots
cam.optical.zoomIn,zoom in,ZI,,camera,shot,camera,cam.optical,"focal length increasing, camera stationary",still,still,EXCLUDED,"Not in the closed set at SHOT-GRAMMAR §V. A zoom is an optical change, not a move; models render it as a push.",industry-standard,studiobinder-shots
cam.optical.zoomOut,zoom out,ZO,,camera,shot,camera,cam.optical,"focal length decreasing, camera stationary",still,still,EXCLUDED,"See zoom in.",industry-standard,studiobinder-shots
cam.optical.dollyzoom,dolly zoom,DZ,vertigo|zolly|trombone,camera,shot,camera,cam.optical,"dolly and counter-zoom, subject scale held",translating,translating,EXCLUDED,"Two simultaneous moves. SHOT-GRAMMAR §IV: one move per clip.",industry-standard,studiobinder-shots
cam.excluded.whip,whip pan,WHIP,swish pan,camera,shot,camera,cam.excluded,"rapid pan smearing the frame",unstable,unstable,EXCLUDED,"Dropped at SHOT-GRAMMAR §V — needs more frames than the envelope has, and poisons the anchor frame.",industry-standard,studiobinder-shots
cam.excluded.corkscrew,corkscrew,CORK,,camera,shot,camera,cam.excluded,"orbiting while rising",rising,rotating,EXCLUDED,"Two moves wearing one name. Dropped at SHOT-GRAMMAR §V.",industry-standard,olympiad-shot-grammar
cam.excluded.bullet360,bullet-time orbit,BT360,,camera,shot,camera,cam.excluded,"full 360 orbit with time suspended",rotating,rotating,EXCLUDED,"Needs far more frames than 97. Dropped at SHOT-GRAMMAR §V.",industry-standard,olympiad-shot-grammar
